Info:,,,True Turnout,,"159,544,854",Number of voters used,"160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Paulette Jordan,Jim Risch,877,4,2,1,459,Rudy Soto,Russ Fulcher,0.287,0.678,2,392,C. Aaron Swisher,Mike Simpson,0.317,0.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Richard Durbin,Mark Curran,6067,20,18,1,325,Bobby Rush,Philanise White,0.738,0.262,2,298,Robin Kelly,Theresa Raborn,0.788,0.212,3,307,Marie Newman,Mike Fricilone,0.564,0.436,4,223,Chuy Garcia,Jesus Solorio,0.841,0.159,5,362,Mike Quigley,Tommy Hanson,0.708,0.266,6,405,Sean Casten ,Jeanne Ives,0.528,0.454,7,311,Danny Davis,Craig Cameron,0.804,0.133,8,255,Raja Krishnamoorthi,Preston Nelson,0.732,0.268,9,370,Janice Schakowsky,Sargis Sangari,0.71,0.29,10,317,Brad Schneider,Valerie Ramirez Mukherjee,0.639,0.361,11,308,Bill Foster,Rick Laib,0.633,0.367,12,323,Raymond Lenzi,Mike Bost,0.396,0.604,13,333,Betsy Dirksen Londrigan,Rodney Davis,0.455,0.545,14,402,Lauren Underwood,Jim Oberweis,0.507,0.493,15,334,Erika Weaver,Mary Miller,0.266,0.734,16,339,Dani Brzozowski,Adam Kinzinger,0.647,0.353,17,300,Cheri Bustos,Esther Joy King,0.52,0.48,18,372,Darin LaHood,George Petrilli,0.296,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,NONE,NONE,3077,11,9,1,327,Frank J. Mrvan,Mark Leyva,0.566,0.404,2,299,Patricia Hackett,Jackie Walorski,0.385,0.615,3,326,Chip Coldiron,Jim Banks,0.322,0.678,4,339,Joe Mackey,Jim Baird,0.334,0.666,5,417,Christina Hale,Victoria Spartz,0.459,0.5,6,329,Jeannine Lee Lake,Greg Pence,0.278,0.687,7,283,Andre Carson,Susan Marie Smith,0.624,0.376,8,321,E. Thomasina Marsili,Larry D. Bucshon,0.298,0.669,9,360,Andy Ruff,Trey Hollingsworth,0.341,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Theresa Greenfield,Joni Ernst,1704,6,4,1,415,Abby Finkenauer,Ashley Hinson  ,0.486,0.512,2,395,Rita R. Hart,Mariannette Miller-Meeks,0.4991,0.4991,3,449,Cindy Axne ,David Young,0.489,0.475,4,384,J.D. Scholten,Randy Feenstra,0.377,0.619,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Barbara Bollier,Roger Marshall,1379,6,4,1,293,Kali Barnett,Tracey Mann,0.288,0.711,2,337,Michelle De La Isla,Jake LaTurner,0.406,0.551,3,411,Sharice L. Davids,Amanda L. Adkins,0.536,0.435,4,320,Laura Lombard,Ron Estes,0.363,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Amy McGrath,Mitch McConnell,2157,8,6,1,329,James Rhodes,James R. Comer,0.75,0.25,2,361,Hank Linderman,S. Brett Guthrie,0.262,0.709,3,369,John A. Yarmuth,Rhonda Palazzo,0.627,0.373,4,383,Alexandra Owensby,Thomas Massie,0.671,0.329,5,298,Matthew Ryan Best,Harold Rogers,0.842,0.158,6,379,Josh Hicks ,Andy Barr,0.573,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Derrick Edwards,Bill Cassidy,2186,8,6,1,375,Lee Ann Dugas,Steve Scalise,0.25,0.72,2,317,Cedric L. Richmond,David M. Schilling,0.64,0.15,3,341,Braylon Harris,Clay Higgins,0.18,0.68,4,307,Kenny Houston,Mike Johnson,0.6,0.25,5,310,Sandra Christophe,Luke J. Letlow,0.16,0.33,6,375,Dartanyon Williams,Garret Graves,0.71,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,Sara I. Gideons,Susan Collins,830,4,2,1,449,Chellie Pingree,Jay Allen,0.368,0.604,2,381,Jared Golden,Dale John Crafts,0.46,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,NONE,NONE,2983,10,8,1,396,Mia Mason,Andy Harris,0.364,0.634,2,353,C.A. Dutch Ruppersberger,Johnny Ray Salling,0.677,0.32,3,374,John Sarbanes,Charles Anthony,0.698,0.3,4,354,Anthony G. Brown,George E. McDermott,0.796,0.202,5,399,Steny H. Hoyer,Chris Palombi,0.688,0.31,6,367,David J. Trone,Neil C. Parrott,0.588,0.392,7,331,Kweisi Mfume,Himberly Klacik,0.716,0.28,8,111,Jamie Raskin,Gregory Thomas Coll,0.682,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Edward Markey,Kevin O'Connor,3668,11,9,1,373,Richard Neal,Alex Morse,0.965,0.004,2,395,James McGovern,Tracy Lyn Lovvorn,0.653,0.346,3,389,Lori Loureiro Trahan,NONE,0.977,0,4,435,Jake Auchincloss,Julie A. Hall,0.608,0.389,5,414,Katherine Clark,Caroline Colarusso,0.743,0.256,6,453,Seth Moulton,John Paul Moran,0.654,0.344,7,327,Alyanna Pressley,Roy Owens,0.866,0.125,8,434,Stephen Lynch,Jonathan Lott,0.807,0.187,9,443,Bill Keating,Helen Brady,0.613,0.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Gary Peters,John James,5595,16,14,1,417,Dana Ferguson,Jack Bergman,0.386,0.616,2,404,Bryan Berghoef,Bill Huizenga,0.382,0.592,3,404,Hillary Scholten ,Peter Meijer,0.47,0.529,4,374,Jerry Hilliard,John Moolenaar,0.323,0.65,5,362,Daniel Kildee,Time Kelly,0.544,0.417,6,380,Jon Hoadley,Fred Upton,0.401,0.558,7,388,Gretchn Driskell,Time Walberg,0.412,0.587,8,400,Andy Levin,Charles Langwortht,0.577,0.384,9,410,Kiberly Bizon,Lisa McClain,0.337,0.663,10,429,Elissa Slotkin,Paul Junge,0.508,0.472,11,451,Haley Stevens,Eric Esshaki,0.502,0.478,12,384,Debbie Dingell,Jeff Jones,0.664,0.306,13,287,Rashida Tlaib,David Dudenhoefer,0.78,0.186,14,343,Brenda Lawrence,Robert Vance Patrick,0.792,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Tina Smith,Jason Lewis,3299,10,8,1,369,Dan Feehan,Jim Hagedorn,0.455,0.485,2,425,Angie Craig,Tyler Kistner,0.481,0.459,3,444,Dean Phillips,Kendall Qualls,0.556,0.443,4,390,Betty McCollum,Gene Rechtzigel,0.631,0.289,5,399,IIhan Omar,Lacy Johnson,0.642,0.258,6,413,Tawnja Zahradka,Tom Emmer,0.341,0.657,7,364,Collin Peterson,Michelle Fischbach,0.398,0.533,8,394,Quinn Nystrom,Pete Stauber,0.375,0.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,Mike Espy,Cindy Hyde-Smith,1328,6,4,1,333,Antonia Eliason,Trent Kelly,0.321,0.687,2,298,Bennie G. Thompson,Brian Flowers,0.339,0.66,3,342,Dorothy Dot Benford,Michael Guest,0.353,0.647,4,256,NONE,Steven Palazzo,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,NONE,NONE,3058,10,8,1,312,Cori Bush,Anthony Rogers,0.787,0.189,2,445,Jill Schupp,Ann Wagner,0.454,0.519,3,408,Megan Rezabek ,Blaine Luetkemeyer,0.284,0.693,4,363,Lindsey Simmons,Vicky Hartzler,0.296,0.675,5,350,Emanuel Cleaver II,Ryan Derks,0.585,0.387,6,386,Gena L. Ross,Sam Graves,0.307,0.671,7,367,Teresa Montseny,Billy Long,0.263,0.687,8,330,Kathy Ellis,Jason Smith,0.213,0.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,Steve Bullock,Steve Daines,613,3,1,1,603,Kathleen Williams,Matt Rosendale,0.44,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,Chris Janicek,Ben Sasse,969,5,3,1,318,Kate Bolz,Jeff Fortenberry,0.376,0.595,2,337,Kara Eastman,Donald Bacon,0.462,0.507,3,287,Mark Elworth Jr.,Adrian Smith,0.176,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,NONE,NONE,1411,6,4,1,223,Dina Titus,Joyce Bentley,0.618,0.334,2,383,Patricia Ackerman,Mark E. Amodei,0.407,0.565,3,418,Suzzanne Lee,Dan Rodimer,0.488,0.458,4,387,Steven A. Horsford,Jim Marchant,0.507,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,Jeanne Shaheen,Corky Messner,816,4,2,1,401,Chris Pappas,Matt Mowers,0.513,0.462,2,387,Ann McLane Kuster,Steven Negron,0.538,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey ,Cory Booker,Rikin Mehta,4362,14,12,1,386,Donald Norcross,Claire Gustafson,0.625,0.375,2,377,Amy Kennedy,Jeff Van Drew,0.462,0.519,3,432,Andy Kim,David Richter,0.532,0.455,4,425,Stephanie Schmid,Christopher Smith,0.383,0.599,5,424,Josh Gottheimer,Frank Pallotta,0.532,0.456,6,327,Frank Pallone,Christian Onuoha,0.612,0.388,7,435,Tom Malinowski,Thomas Kean Jr,0.506,0.494,8,239,Albio Sires,Jason Mushnick,0.74,0.246,9,310,Bill Pascrell,Billy Prempeh,0.658,0.319,10,290,Donald Payne Jr.,Jennifer Zinone,0.833,0.139,11,442,Mikie Sherrill,Rosemary Becchi,0.533,0.467,12,352,Bommie Watson Coleman,Mark Razzoli,0.656,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,Ben Ray Lujan,Mark Ronchetti,930,5,3,1,322,Deb Haaland,Michelle Garcia Holmes,0.852,0.418,2,265,Xochitl Torres Small,Yvette Herrel,0.463,0.537,3,318,Teresa Leger Fernandez,Alexis Johnson,0.587,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
